	mean_EC
EC:1.4.1.14	1.7537
EC:1.4.1.16	0.07755
EC:1.4.1.18	0.0126
EC:1.4.1.2	0.45045
EC:1.4.1.20	0.0093
EC:1.4.1.21	0.1238
EC:1.4.1.23	0.03725
EC:1.4.1.24	0.02605
EC:1.4.1.3	0.29515
EC:1.4.1.4	0.59555
EC:1.4.1.9	0.2099
EC:1.4.3.1	5e-05
EC:1.4.3.10	0.02195
EC:1.4.3.16	0.71265
EC:1.4.3.19	0.35055
EC:1.4.3.2	0.00095
EC:1.4.3.20	0.0029
EC:1.4.3.21	0.1471
EC:1.4.3.3	0.0442
EC:1.4.3.4	0.31425
EC:1.4.3.5	0.6626
EC:1.4.4.2	1.0204
EC:1.4.7.1	0.1134
EC:1.4.9.1	0.0632
EC:1.4.9.2	0.0024
EC:1.4.99.5	0.0378
EC:1.4.99.6	0.0756
EC:1.5.1.1	0.0247
EC:1.5.1.10	0.01695
EC:1.5.1.15	0.00035
EC:1.5.1.19	2e-04
EC:1.5.1.2	1.10795
EC:1.5.1.20	0.81105
EC:1.5.1.21	0.036
EC:1.5.1.24	0.0102
EC:1.5.1.25	0.00255
EC:1.5.1.28	0.08315
EC:1.5.1.3	1.06005
EC:1.5.1.30	5e-05
EC:1.5.1.33	0.0546
EC:1.5.1.34	0.22135
EC:1.5.1.36	0.1397
EC:1.5.1.37	7e-04
EC:1.5.1.38	0.5811
EC:1.5.1.39	0.0584
EC:1.5.1.41	0.1847
EC:1.5.1.43	0.02315
EC:1.5.1.45	0.00575
EC:1.5.1.47	0.00555
EC:1.5.1.49	0.0117
EC:1.5.1.5	1.08245
EC:1.5.1.6	0.00055
EC:1.5.1.7	0.1673
EC:1.5.1.8	0.002
EC:1.5.1.9	0.01295
EC:1.5.3.1	1.0979
EC:1.5.3.17	3e-04
EC:1.5.3.19	0.0689
EC:1.5.3.7	0.00325
EC:1.5.5.1	0.34465
EC:1.5.5.2	0.54325
EC:1.5.8.1	0.023
EC:1.5.8.2	0.023
EC:1.5.8.3	0.00235
EC:1.5.8.4	0.1021
EC:1.5.98.1	0.0073
EC:1.5.98.2	0.0362
EC:1.5.99.12	8e-04
EC:1.5.99.13	0.00065
EC:1.5.99.14	0.0038
EC:1.5.99.15	0.0049
EC:1.5.99.6	0.0323
EC:1.6.1.1	0.3134
EC:1.6.1.2	1.44235
EC:1.6.2.2	0.00275
EC:1.6.2.4	0.06225
EC:1.6.3.1	0.00015
EC:1.6.3.3	0.0103
EC:1.6.3.4	0.0059
EC:1.6.5.2	1.2063
EC:1.6.5.3	6.69715
EC:1.6.5.5	1.17615
EC:1.6.99.1	0.07765
EC:1.6.99.3	1.35075
EC:1.7.1.1	0.00015
EC:1.7.1.13	0.65115
EC:1.7.1.15	1.19955
EC:1.7.1.2	0.00015
EC:1.7.1.3	0.00015
EC:1.7.1.4	1e-04
EC:1.7.1.6	0.02465
EC:1.7.1.7	0.3697
EC:1.7.2.1	0.1648
EC:1.7.2.2	0.18195
EC:1.7.2.3	0.28595
EC:1.7.2.4	0.07995
EC:1.7.2.5	0.1697
EC:1.7.2.6	0.00965
EC:1.7.3.3	0.07515
EC:1.7.7.1	0.09315
EC:1.7.7.2	0.03
EC:1.7.99.1	0.364
EC:1.7.99.4	1.9481
EC:1.8.1.14	0.0194
EC:1.8.1.15	0.0578
EC:1.8.1.2	1.02755
EC:1.8.1.4	1.87545
EC:1.8.1.7	0.58785
EC:1.8.1.8	0.89695
EC:1.8.1.9	1.92785
EC:1.8.2.1	0.01275
EC:1.8.2.2	0.11575
EC:1.8.2.3	0.01525
EC:1.8.2.4	0.00215
EC:1.8.3.1	0.0213
EC:1.8.3.5	1e-04
EC:1.8.3.6	1e-04
EC:1.8.4.11	1.48515
EC:1.8.4.12	1.22865
EC:1.8.4.14	1e-04
EC:1.8.4.2	1e-04
EC:1.8.4.8	0.68315
EC:1.8.4.9	1e-04
EC:1.8.5.2	0.21055
EC:1.8.5.3	0.2626
EC:1.8.7.1	0.15415
EC:1.8.7.2	0.01255
EC:1.8.98.1	0.194
EC:1.8.98.2	5e-05
EC:1.8.99.2	0.05885
EC:1.8.99.3	0.0375
EC:1.8.99.5	0.0375
EC:1.9.3.1	2.5014
EC:1.97.1.4	1.57575
EC:1.97.1.9	0.3013
EC:2.1.1.1	1e-04
EC:2.1.1.10	0.29065
EC:2.1.1.100	0.0054
EC:2.1.1.101	8e-04
EC:2.1.1.102	0.00245
EC:2.1.1.103	0.0064
EC:2.1.1.104	0.04985
EC:2.1.1.107	1.59415
EC:2.1.1.11	0.03615
EC:2.1.1.112	0.00015
EC:2.1.1.113	0.0524
EC:2.1.1.114	5e-05
EC:2.1.1.12	0.00015
EC:2.1.1.13	0.93895
EC:2.1.1.130	0.37015
EC:2.1.1.131	0.38315
EC:2.1.1.132	0.30735
EC:2.1.1.133	0.3647
EC:2.1.1.137	1e-04
EC:2.1.1.14	0.9411
EC:2.1.1.140	0.00015
EC:2.1.1.141	0.00015
EC:2.1.1.143	0.00015
EC:2.1.1.144	0.27195
EC:2.1.1.148	0.2075
EC:2.1.1.151	0.31375
EC:2.1.1.152	0.1254
EC:2.1.1.156	0.01025
EC:2.1.1.157	0.0222
EC:2.1.1.161	0.00075
EC:2.1.1.163	0.92295
EC:2.1.1.166	0.48205
EC:2.1.1.168	5e-05
EC:2.1.1.17	0.09355
EC:2.1.1.170	0.96285
EC:2.1.1.171	0.5982
EC:2.1.1.172	0.65985
EC:2.1.1.173	0.3039
EC:2.1.1.174	0.13735
EC:2.1.1.176	1.05975
EC:2.1.1.177	0.8112
EC:2.1.1.178	0.17205
EC:2.1.1.179	0.0057
EC:2.1.1.180	0.00175
EC:2.1.1.181	0.2632
EC:2.1.1.182	0.9986
EC:2.1.1.183	0.00015
EC:2.1.1.184	0.0863
EC:2.1.1.185	0.9753
EC:2.1.1.186	0.27385
EC:2.1.1.187	0.4245
EC:2.1.1.188	0.0013
EC:2.1.1.189	0.18285
EC:2.1.1.190	0.8811
EC:2.1.1.191	0.8172
EC:2.1.1.192	0.9813
EC:2.1.1.193	0.95125
EC:2.1.1.195	0.2707
EC:2.1.1.196	0.1124
EC:2.1.1.197	0.47515
EC:2.1.1.198	1.1095
EC:2.1.1.199	0.99415
EC:2.1.1.2	0.0013
EC:2.1.1.200	0.30265
EC:2.1.1.201	0.923
EC:2.1.1.202	5e-05
EC:2.1.1.204	7e-04
EC:2.1.1.206	0.0205
